id,parent_id,label,stage,sku_num,image,all_sku_num
1730801253230823726,3,SCHWER,2,0,,53
1731741842882597825,3,Stratasys,2,0,,2
1733122159695028824,3,SONGdao,2,0,,30
1733566236540151532,3,SIYOUFAN,2,0,,74
1733708721241313843,3,SZJT-clutch,2,0,,95
1733712373382542309,3,SUNDY,2,0,,5
1733722977975920509,3,Shenji,2,0,,0
1734159351923513577,3,SCODENO,2,0,,1
1734603646964173110,3,SHANG GONG,2,0,,212
1734924198675202805,3,SHKJ-relay module,2,0,,34
1735354117422113353,3,sinotimer,2,0,,1
1735534745963261827,3,SINO,2,0,,30
1735876397545350638,3,Samkoon,2,0,,0
1736214415100000946,3,SNS,2,0,,0
1736411200258562881,3,Shihlin,2,0,,2
1737445819100001647,3,Solartron Metrology,2,0,,1
1737448076492638595,3,Socomec,2,0,,3
1737456464644810851,3,Strong,2,0,,1
13118,3,Tamagawa,2,0,,0
13767,3,TI,2,0,,57970
14101,3,TE,2,0,,4343
15739,3,TURCK,2,0,,10688
17203,3,TESTO,2,0,,28
23363,3,Transcend,2,0,,363
24214,3,TDK,2,0,,5644
25512,3,Telemecanique,2,0,,6930
28817,3,TT Electronics,2,0,,830
32805,3,Traco,2,0,,631
36522,3,TB Group,2,0,,329
36809,3,TAIYO YUDEN,2,2260,,29022
36810,3,Tripp Lite,2,0,,0
37614,3,Tektronix,2,0,,0
41950,3,TB GONG JU,2,0,,29
43283,3,Tuge,2,0,,19
43611,3,Tuoguang,2,0,,133
44142,3,Tenda,2,0,,52
44454,3,Telesky,2,0,,55
44703,3,TP-LINK,2,0,,1572
44901,3,Taifeng,2,0,,33
1716630325547121009,3,TOPDON,2,0,,9
1718678516135752561,3,TL Eagle,2,0,,4
1720666262819406020,3,test123456,2,0,,6
1721442144047938406,3,TWXQHX,2,0,,73
1723889897427198359,3,TENGEN,2,0,,349
1724314913229773528,3,Tian Zhuo,2,0,,216
1724895990375814685,3,TAIMING,2,0,,0
1725865832218246891,3,Tian mu,2,0,,1
